2023-11-18 15:09:53 - RAM: 16.7% used, Swap: 1.7% used
2023-11-18 15:09:55 - RAM: 20.7% used, Swap: 1.7% used
2023-11-18 15:09:57 - RAM: 22.8% used, Swap: 1.7% used
2023-11-18 15:09:59 - RAM: 27.1% used, Swap: 1.7% used
2023-11-18 15:10:01 - RAM: 26.0% used, Swap: 1.7% used
2023-11-18 15:10:03 - RAM: 27.0% used, Swap: 1.7% used
2023-11-18 15:10:05 - RAM: 26.4% used, Swap: 1.7% used
2023-11-18 15:10:07 - RAM: 27.8% used, Swap: 1.7% used
2023-11-18 15:10:09 - RAM: 23.4% used, Swap: 1.7% used
2023-11-18 15:10:11 - RAM: 24.9% used, Swap: 1.7% used
2023-11-18 15:10:13 - RAM: 26.9% used, Swap: 1.7% used
2023-11-18 15:10:15 - RAM: 24.2% used, Swap: 1.7% used
2023-11-18 15:10:17 - RAM: 27.2% used, Swap: 1.7% used
2023-11-18 15:10:19 - RAM: 26.3% used, Swap: 1.7% used
2023-11-18 15:10:21 - RAM: 23.7% used, Swap: 1.7% used
2023-11-18 15:10:23 - RAM: 24.4% used, Swap: 1.7% used
2023-11-18 15:10:25 - RAM: 23.0% used, Swap: 1.7% used
2023-11-18 15:10:27 - RAM: 26.0% used, Swap: 1.7% used
2023-11-18 15:10:29 - RAM: 31.1% used, Swap: 1.7% used
2023-11-18 15:10:31 - RAM: 32.5% used, Swap: 1.7% used
2023-11-18 15:10:33 - RAM: 29.3% used, Swap: 1.7% used
2023-11-18 15:10:35 - RAM: 31.3% used, Swap: 1.7% used
2023-11-18 15:10:37 - RAM: 30.3% used, Swap: 1.7% used
2023-11-18 15:10:39 - RAM: 25.6% used, Swap: 1.7% used
2023-11-18 15:10:41 - RAM: 26.9% used, Swap: 1.7% used
2023-11-18 15:10:43 - RAM: 29.3% used, Swap: 1.7% used
2023-11-18 15:10:45 - RAM: 27.5% used, Swap: 1.7% used
2023-11-18 15:10:47 - RAM: 26.2% used, Swap: 1.7% used
2023-11-18 15:10:49 - RAM: 26.8% used, Swap: 1.7% used
2023-11-18 15:10:51 - RAM: 26.9% used, Swap: 1.7% used
2023-11-18 15:10:53 - RAM: 27.2% used, Swap: 1.7% used
2023-11-18 15:10:55 - RAM: 29.5% used, Swap: 1.7% used
2023-11-18 15:10:57 - RAM: 30.4% used, Swap: 1.7% used
2023-11-18 15:10:59 - RAM: 27.3% used, Swap: 1.7% used
2023-11-18 15:11:01 - RAM: 27.0% used, Swap: 1.7% used
2023-11-18 15:11:03 - RAM: 24.2% used, Swap: 1.7% used
2023-11-18 15:11:05 - RAM: 23.2% used, Swap: 1.7% used
2023-11-18 15:11:07 - RAM: 26.9% used, Swap: 1.7% used
2023-11-18 15:11:09 - RAM: 27.3% used, Swap: 1.7% used
2023-11-18 15:11:11 - RAM: 28.1% used, Swap: 1.7% used
2023-11-18 15:11:13 - RAM: 30.1% used, Swap: 1.7% used
2023-11-18 15:11:15 - RAM: 31.2% used, Swap: 1.7% used
2023-11-18 15:11:17 - RAM: 29.9% used, Swap: 1.7% used
2023-11-18 15:11:19 - RAM: 28.3% used, Swap: 1.7% used
2023-11-18 15:11:21 - RAM: 27.3% used, Swap: 1.7% used
2023-11-18 15:11:23 - RAM: 27.0% used, Swap: 1.7% used
2023-11-18 15:11:25 - RAM: 32.0% used, Swap: 1.7% used
2023-11-18 15:11:27 - RAM: 31.5% used, Swap: 1.7% used
2023-11-18 15:11:29 - RAM: 27.1% used, Swap: 1.7% used
2023-11-18 15:11:31 - RAM: 25.9% used, Swap: 1.7% used
2023-11-18 15:11:33 - RAM: 26.8% used, Swap: 1.7% used
2023-11-18 15:11:35 - RAM: 28.3% used, Swap: 1.7% used
2023-11-18 15:11:37 - RAM: 27.7% used, Swap: 1.7% used
2023-11-18 15:11:39 - RAM: 30.0% used, Swap: 1.7% used
