2023-11-14 12:53:15 - RAM: 11.1% used, Swap: 0.7% used
2023-11-14 12:53:25 - RAM: 12.7% used, Swap: 0.7% used
2023-11-14 12:53:35 - RAM: 15.9% used, Swap: 0.7% used
2023-11-14 12:53:45 - RAM: 18.1% used, Swap: 0.7% used
2023-11-14 12:53:55 - RAM: 18.7% used, Swap: 0.7% used
2023-11-14 12:54:05 - RAM: 23.0% used, Swap: 0.7% used
2023-11-14 12:54:15 - RAM: 43.1% used, Swap: 0.7% used
2023-11-14 12:54:25 - RAM: 53.4% used, Swap: 0.7% used
2023-11-14 12:54:35 - RAM: 22.4% used, Swap: 0.7% used
2023-11-14 12:54:45 - RAM: 29.3% used, Swap: 0.7% used
2023-11-14 12:54:55 - RAM: 48.6% used, Swap: 0.7% used
2023-11-14 12:55:05 - RAM: 20.5% used, Swap: 0.7% used
2023-11-14 12:55:15 - RAM: 20.5% used, Swap: 0.7% used
2023-11-14 12:55:25 - RAM: 46.3% used, Swap: 0.7% used
2023-11-14 12:55:35 - RAM: 51.0% used, Swap: 0.7% used
2023-11-14 12:55:45 - RAM: 21.3% used, Swap: 0.7% used
2023-11-14 12:55:55 - RAM: 47.7% used, Swap: 0.7% used
2023-11-14 12:56:05 - RAM: 50.5% used, Swap: 0.7% used
2023-11-14 12:56:15 - RAM: 22.5% used, Swap: 0.7% used
2023-11-14 12:56:25 - RAM: 22.5% used, Swap: 0.7% used
2023-11-14 12:56:35 - RAM: 22.5% used, Swap: 0.7% used
2023-11-14 12:56:45 - RAM: 22.5% used, Swap: 0.7% used
2023-11-14 12:56:55 - RAM: 22.5% used, Swap: 0.7% used
2023-11-14 12:57:05 - RAM: 40.2% used, Swap: 0.7% used
2023-11-14 12:57:15 - RAM: 69.2% used, Swap: 0.7% used
2023-11-14 12:57:25 - RAM: 71.6% used, Swap: 0.7% used
2023-11-14 12:57:35 - RAM: 71.9% used, Swap: 0.7% used
2023-11-14 12:57:45 - RAM: 71.4% used, Swap: 0.7% used
2023-11-14 12:57:55 - RAM: 72.9% used, Swap: 0.7% used
2023-11-14 12:58:05 - RAM: 73.5% used, Swap: 0.7% used
2023-11-14 12:58:15 - RAM: 73.6% used, Swap: 0.7% used
2023-11-14 12:58:25 - RAM: 88.1% used, Swap: 0.7% used
2023-11-14 12:58:35 - RAM: 91.9% used, Swap: 0.7% used
2023-11-14 12:58:45 - RAM: 92.8% used, Swap: 0.7% used
2023-11-14 12:58:55 - RAM: 32.1% used, Swap: 1.8% used
2023-11-14 12:59:05 - RAM: 74.0% used, Swap: 1.8% used
2023-11-14 12:59:15 - RAM: 78.8% used, Swap: 1.8% used
2023-11-14 12:59:25 - RAM: 82.1% used, Swap: 1.8% used
2023-11-14 12:59:35 - RAM: 82.4% used, Swap: 1.8% used
2023-11-14 12:59:45 - RAM: 82.6% used, Swap: 1.8% used
2023-11-14 12:59:55 - RAM: 87.3% used, Swap: 1.8% used
2023-11-14 13:00:06 - RAM: 84.7% used, Swap: 1.8% used
2023-11-14 13:00:16 - RAM: 86.5% used, Swap: 1.8% used
2023-11-14 13:00:26 - RAM: 86.9% used, Swap: 1.8% used
2023-11-14 13:00:36 - RAM: 88.8% used, Swap: 1.8% used
2023-11-14 14:19:39 - RAM: 10.8% used, Swap: 0.7% used
2023-11-14 14:19:49 - RAM: 12.3% used, Swap: 0.7% used
2023-11-14 14:19:59 - RAM: 15.0% used, Swap: 0.7% used
2023-11-14 14:20:09 - RAM: 18.1% used, Swap: 0.7% used
2023-11-14 14:20:19 - RAM: 19.0% used, Swap: 0.7% used
2023-11-14 14:20:29 - RAM: 20.1% used, Swap: 0.7% used
2023-11-14 14:20:39 - RAM: 44.2% used, Swap: 0.7% used
2023-11-14 14:20:49 - RAM: 33.7% used, Swap: 0.7% used
2023-11-14 14:20:59 - RAM: 20.3% used, Swap: 0.7% used
2023-11-14 14:21:09 - RAM: 45.3% used, Swap: 0.7% used
2023-11-14 14:21:19 - RAM: 57.9% used, Swap: 0.7% used
2023-11-14 14:21:29 - RAM: 20.1% used, Swap: 0.7% used
2023-11-14 14:21:40 - RAM: 26.4% used, Swap: 0.7% used
2023-11-14 14:21:50 - RAM: 46.2% used, Swap: 0.7% used
2023-11-14 14:22:00 - RAM: 51.5% used, Swap: 0.7% used
2023-11-14 14:22:10 - RAM: 28.8% used, Swap: 0.7% used
2023-11-14 14:22:20 - RAM: 45.9% used, Swap: 0.7% used
2023-11-14 14:22:30 - RAM: 34.5% used, Swap: 0.7% used
2023-11-14 14:22:40 - RAM: 22.0% used, Swap: 0.7% used
2023-11-14 14:22:50 - RAM: 22.0% used, Swap: 0.7% used
2023-11-14 14:23:00 - RAM: 22.0% used, Swap: 0.7% used
2023-11-14 14:23:10 - RAM: 22.0% used, Swap: 0.7% used
2023-11-14 14:23:20 - RAM: 25.6% used, Swap: 0.7% used
2023-11-14 14:23:30 - RAM: 64.0% used, Swap: 0.7% used
2023-11-14 14:23:40 - RAM: 70.0% used, Swap: 0.7% used
2023-11-14 14:23:50 - RAM: 75.7% used, Swap: 0.7% used
2023-11-14 14:24:00 - RAM: 77.5% used, Swap: 0.7% used
2023-11-14 14:24:10 - RAM: 78.1% used, Swap: 0.7% used
2023-11-14 14:24:20 - RAM: 18.4% used, Swap: 0.7% used
2023-11-14 14:24:30 - RAM: 18.5% used, Swap: 0.7% used
2023-11-14 14:24:40 - RAM: 18.8% used, Swap: 0.7% used
2023-11-14 14:24:50 - RAM: 18.8% used, Swap: 0.7% used
2023-11-14 14:25:00 - RAM: 18.8% used, Swap: 0.7% used
2023-11-14 14:25:10 - RAM: 18.8% used, Swap: 0.7% used
2023-11-14 14:25:20 - RAM: 18.8% used, Swap: 0.7% used
2023-11-14 14:25:30 - RAM: 18.8% used, Swap: 0.7% used
2023-11-14 14:25:40 - RAM: 18.8% used, Swap: 0.7% used
2023-11-14 14:25:50 - RAM: 18.8% used, Swap: 0.7% used
2023-11-14 14:26:00 - RAM: 18.8% used, Swap: 0.7% used
2023-11-14 14:26:10 - RAM: 18.8% used, Swap: 0.7% used
2023-11-14 14:26:20 - RAM: 18.9% used, Swap: 0.7% used
2023-11-14 14:26:30 - RAM: 18.9% used, Swap: 0.7% used
2023-11-14 14:26:40 - RAM: 18.9% used, Swap: 0.7% used
2023-11-14 14:26:50 - RAM: 18.9% used, Swap: 0.7% used
2023-11-14 14:27:00 - RAM: 18.9% used, Swap: 0.7% used
2023-11-14 14:27:10 - RAM: 18.9% used, Swap: 0.7% used
2023-11-14 14:27:20 - RAM: 18.9% used, Swap: 0.7% used
2023-11-14 14:27:30 - RAM: 18.9% used, Swap: 0.7% used
2023-11-14 14:27:40 - RAM: 19.0% used, Swap: 0.7% used
2023-11-14 14:27:50 - RAM: 19.1% used, Swap: 0.7% used
2023-11-14 14:28:00 - RAM: 19.1% used, Swap: 0.7% used
2023-11-14 14:28:10 - RAM: 19.0% used, Swap: 0.7% used
2023-11-14 14:28:20 - RAM: 19.0% used, Swap: 0.7% used
2023-11-14 14:28:30 - RAM: 19.0% used, Swap: 0.7% used
2023-11-14 14:28:40 - RAM: 19.1% used, Swap: 0.7% used
